1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89
Время ответа;1. С точки зрения национальности, я считаю себя:;Используйте номера ниже, чтобы указать, насколько Вы согласны или не согласны с каждым утверждением:;;;;;;;;;;;;Пожалуйста, заполните:;;4. Ваш пол:;5. Ваш возраст _______ лет;6. Каково Ваше семейное положение в настоящее время? Вы…?;Пожалуйста заполните:;;9. Вопрос к тем, кто переехал в Финляндию. Что послужило причиной Вашего переезда?;;10. Какими языками Вы владеете, кроме родного, и на каком уровне?;;;;;;11. Какой язык является для Вас родным?;;12. Насколько Вы владеете финским языком?;;;;13. Как вы считаете, достаточно ли Вам Вашего знания финского языка для жизни в Финляндии?;14. Какая из нижеперечисленных религий Вам ближе всего?;15. Вопрос к тем, у кого есть дети. Какого вида средняя школа или гимназия, в которой Ваши дети сейчас учатся?;;;;;;;;16. Ваше образование?;;17. Какова сейчас Ваша основная деятельность?;;18. Как Вы оцениваете Ваш доход?;19. Как Вы считаете, через пять лет экономическое положение Вашей семьи, по сравнению с нынешним, будет …?;20. Какой был Ваш личный доход за прошедший месяц?;21. Какое из представленных описаний, по Вашему мнению, наиболее точно описывает уровень дохода Вашей семьи в нынешнее время?;22. Скажите, пожалуйста, насколько Вы удовлетворены своей жизнью в целом в настоящее время?;23. Скажите, пожалуйста, насколько Вы удовлетворены…?;;;;;;24. Скажите, пожалуйста, насколько Вы согласны со следующими высказываниями?;;;;;;25. Насколько важно по Вашему мнению, для нефиннов следующее, чтобы достичь успеха в Финляндии?;;;;;;;;26. Замечали ли Вы, что в Финляндии нефинны имеют одинаковые возможности с финнами при прочих равных условиях достичь следующего…?;;;;;;;;;27. Как бы Вы оценили положение финнов и нефиннов в обществе Финляндии?;28. Как Вы считаете, похож ли образ жизни и мыслей финнов, по сравнению с Вашим ...? Почему?;29. Насколько успешной была до сих пор, по Вашему мнению, интеграция нефиннов в финское общество?;30. В конституции сказано, что в финском государстве власть принадлежит народу. Считаете ли Вы себя частью финского народа с точки зрения конституции? Почему?;31. Если бы Вам предложили переехать на постоянное место жительства в другую страну, то в какую страну Вы бы хотели переехать?;
-;-;1. Я провел(а) много времени, пытаясь узнать больше о моей нации, об ее истории, традициях и обычаях.;2. Я активный член в организациях или социальных группах, которые включают в себя в основном людей моей собственной национальности.;3. У меня есть четкое ощущение моей национальности и того, что это означает для меня.;4. Я много думаю о том, насколько моя национальная принадлежность влияет на мою жизнь.;5. Я счастлив(а) иметь ту национальность, к которой я принадлежу.;6. У меня есть сильное чувство принадлежности к своей собственной национальности.;7. Я очень хорошо понимаю, что моя национальность значит для меня.;8. Для того, чтобы узнать больше о моей национальности, я часто беседую с другими людьми о моей национальной принадлежности.;9. У меня есть чувство гордости в отношении моей национальности.;10. Я принимаю участие в культурных практиках, относящихся к моей национальности, например, приготовление особых блюд, исполнение или прослушивание национальной музыка, почитание традиций и обычаев.;11. Я чувствую сильную привязанность в отношении моей национальности.;12. Я чувствую себя хорошо относительно моего культурного и национального происхождения.;2. Национальность моего отца;3. Национальность моей матери;-;-;-;7. Место Вашего рождения:;8. Сколько всего лет Вы живёте в Финляндии? Запишите, пожалуйста, число полных лет:;-;4. Другое (укажите): Открыть текстовые ответы;Финский;Шведский;Английский;Немецкий;Какой-либо другой язык;Какой-либо другой язык: Открыть текстовые ответы;-;3. Другой (укажите): Открыть текстовые ответы;1. Понимаете разговорную речь;2. Умеете читать;3. Можете общаться;4. Умеете писать;-;-;1. Школа с финским языком обучения;2. В классе с языковым погружением;3. Русская школа, где часть предметов преподается на финском языке;4. Русская школа, где часть предметов преподается на финском языке (двуязычная гимназия);5. Частная гимназия с русским языком обучения;6. Школа, где преподавание целиком на иностранном языке;7. Не учатся на этом уровне;8. Затрудняюсь ответить;-;6. Другое. Запишите: Открыть текстовые ответы;-;11. Другое. Запишите:: Открыть текстовые ответы;-;-;-;-;1;1. … своей работой?;2. … своей личной безопасностью?;3. … свои жильем?;4. … своей семейной жизнью?;5. … материальным положением своей семьи?;6. … своим отношениями с друзьями/близкими?;1. Я смотрю в будущее с надеждой;2. То, что я делаю, не получает признания;3. Я чувствую себя в обществе человеком второго сорта;4. Я могу защитить свои интересы;5. Из-за моего низкого дохода или работы люди смотрят на меня «сверху вниз»;6. У меня нет возможности влиять на общество;1. Финское имя, фамилия;2. Финское гражданство;3. Владение финским языком;4. Наличие друзей – финнов;5. Учёба в финской школе;6. Похожее на финнов поведение;7. Другое;7. Другое: Открыть текстовые ответы;1. Получить работу по специальности;2. Попасть на работу в государственное учреждение;3. Попасть на руководящий пост;4. Достичь успеха в бизнесе;5. Достичь успеха в политике;6. Получить высшее образование;7. Начать свой бизнес;8. Получать за ту же работу одинаковую зарплату;9. Получить социальное пособие;-;-;-;-;Первое предпочтение:;Второе предпочтение:
10.03.2015 21:08;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;Да;;
11.03.2015 18:34;Testing testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.03.2015 12:13;Русская;3;2;3;2;3;3;3;2;3;2;2;3;Украинец;Белоруска;2;39;4;Эстония;15,5;4;Финские корни супруга.;5;;4;;3;Эстонский;1;;1;1;1;1;Да;1;1;;;;;;;;5;;1;;2;2;4;2;7;3;4;3;3;2;4;5;2;1;4;1;2;4;4;6;3;7;2;;;5;5;5;5;5;2;2;1;1;У законопослушных и работающих людей положение практически одинаковое.;В чём-то да, когда прожил в стране много лет.;Зависит от самого человека, образования, воспитания!;Не думала об этом...;;
30.03.2015 12:28;Русский, украинец;2;3;2;4;1;2;3;2;1;3;1;2;Русский;Украинка;1;29;2;СССР/Украина;8;1;;3;;5;;;;1;;2;2;3;2;Достаточно, но нужно больше!;1;;;;;;;;;5;;1;;2;1;2;1;8;3;4;3;3;2;2;5;2;3;5;1;2;2;6;7;1;3;2;;;3;4;3;2;3;1;2;2;1;Финны граждане - все у них отлично. У нефиннов тоже все хорошо, высокие соц. пособия, бесплатное обучение и др.;Уже похож)) Украина - это Европа и мысли похожи.;Украинцев интеграция проходит через тяжелые работы, довольно нормально. Русских интеграция в чаще проходит лучше.;Не считаю. Т.к. не принимаю участия в политической деятельности Финляндии, не имею право голосования.;Испания;Тайланд
30.03.2015 12:39;Коми-финкой-сахалинкой (русской);3;2;3;3;4;3;3;3;4;3;3;4;Финн;Коми;2;41;3;п. Бошняково, о. Сахалин, СССР;14;4;Переезд по национальному признаку (финские корни);5;3;5;2;;;1;;1;1;1;1;Да, но всегда есть место совершенствованию.;1;;;;;;;7;;5;;1;;2;4;5;1;7;3;4;4;3;3;4;3;3;2;3;2;4;4;4;1;3;4;2;;;3;3;4;3;3;2;2;3;2;Считаю, что финны имеют преимущество.;Не совсем, разный менталитет.;Всё зависит от самих нефиннов. Своя интеграция прошла успешно.;Да, считаю. У меня есть права голоса на выборах.;Норвегия;Швеция
30.03.2015 12:46;украинка;2;3;2;3;3;2;2;2;3;3;3;3;украинец;русская;2;33;2;Запорожье;6;3;;4;3;5;1;;;1;;1;1;1;1;да;8;1;;;;;;;;5;;1;;3;2;2;2;7;2;4;4;4;3;4;4;4;1;4;1;3;2;5;7;6;7;6;;;2;3;3;2;5;1;1;3;1;Если нефинн хорошо владеет финским языком, а лучше еще и шведским, и имеет финских друзей, то его положение чаще всего не хуже положения финнов.;Похож. Финны обязательны, пунктуальны и исполнительны. Я тоже. Некоторые финны бывают замкнутыми, в этом мы с ними разные. Но все же финны, на мой взгляд, куда менее замкнуты, чем многие о них думают.;Все завистит от владения языками и круга общения. По-моему, тот, кто реально настроен на интеграцию и относительно молод, имеет хорошие шансы.;Считаю.;Канада;Швеция
30.03.2015 12:52;татарин обрусевший;2;1;4;2;3;2;3;2;3;3;3;3;татарин;татарка;1;66;2;Пермь Россия;23;3;;4;1;3;1;3;татарский;1;;2;2;2;3;да;8;1;;;;;;;;5;;6;;3;4;1;2;7;5;4;4;3;3;3;4;3;4;3;3;2;5;7;7;6;7;6;;;3;4;4;3;4;2;2;3;2;разное;нет;не очень;нет, конституция врёт;Англия;Швеёцария
30.03.2015 13:14;в финляндии русской, в россии финкой (ингерманладка);4;1;1;2;4;1;2;1;4;1;2;4;финн, ингерманландец;русская;2;42;5;Ленинград;22;4;переезд из России как таковой - иммиграция;5;;3;;5;русский;1;;1;1;1;1;да;9;1;;;4;;;;;6;незаконченное высшее, проф.институт, курсы повышения квалификации;3;;2;2;6;2;8;4;4;3;2;2;4;5;1;1;5;1;3;5;6;3;1;2;4;7;;3;4;4;3;2;1;2;3;2;Ситуация меняется постоянно, проблеммы у всех не зависимо от происхождения. иммигратны из России более грамотные и более подходящие к местному стилю жизни по привычкам, жизненным ценностям - т.е. приспособиться к жизни здесь больше шансов.;"Вроде как похож, но, почему за 22 года жизни здесь я так и не пробрела хороших друзей из финов? Непонятно, общаемся только среди ""своих"", а крепкой дружбы с финами так и удалось завести.
Поверхностное общение и обмен улыбками, разговоры о погоде - дальше ни в какую!";не могу сказать, у кого как.;Право голоса есть, но как и везде решается все наверху и у простого человека, если особенно не интересует политика вообще, то власти вроде как и тоже нет. Куда большинство потянет, туда и поплывем.;финляндия;в теплую страну подальше от цивилизации
